Mohawk Mountain Ski Area — Cornwall, CT
Mount Southington — Plantsville, CT
Powder Ridge Ski Area — Middlefield, CT
Ski Sundown — New Hartford, CT

Baker Mountain — Bingham, ME
Big Rock — Mars Hill, ME
Big Squaw — Greenville, ME
Black Mountain of Maine — Rumford, ME
Camden Snow Bowl — Camden, ME
Eaton Mountain — Skowhegan, ME
Hermon Mountain — Hermon, ME
Lonesome Pine Trails — Fort Kent, ME
Lost Valley — Auburn, ME
Mount Abram — Greenwood, ME
Mount Jefferson Ski Area — Lee, ME
Pinnacle Ski Club — Pittsfield, ME
Powderhouse Hill — South Berwick, ME
Quoggy Jo — Presque Isle, ME
Saddleback Maine — Rangeley, ME
Shawnee Peak — Bridgton, ME
Sugarloaf — Carrabassett Valley, ME
Sunday River — Newry, ME
Titcomb Mountain — Farmington, ME

Berkshire East Ski Resort — Charlemont, MA
Blandford Ski Area — Blandford, MA
Blue Hills Ski Area — Canton, MA
Bousquet Ski Area — Pittsfield, MA
Butternut — Great Barrington, MA
Jiminy Peak — Hancock, MA
Mount Greylock Ski Club — Williamstown, MA
Nashoba Valley Ski Area — Westford, MA
Otis Ridge — Otis, MA
Ski Bradford — Haverhill, MA
Ski Ward — Shrewsbury, MA
Wachusett Mountain — Princeton, MA

Abenaki Ski Area — Wolfeboro, NH
Arrowhead — Claremont, NH
Attitash — Bartlett, NH
Black Mountain — Jackson, NH
Bretton Woods — Bretton Woods, NH
Cannon Mountain — Franconia Notch, NH
Campton Mountain — Waterville, NH
Cranmore Mountain Resort — North Conway, NH
Crotched Mountain — Bennington, NH
Dartmouth Skiway — Lyme, NH
Franklin Veterans Memorial Recreation Area — Franklin, NH
Granite Gorge — Keene, NH
Gunstock Mountain Resort — Gilford, NH
Kanc Rec Area — Lincoln, NH
King Pine — East Madison, NH
Loon Mountain — Lincoln, NH
McIntyre Ski Area — Manchester, NH
Mount Eustis, Littleton, NH
Mount Prospect — Lancaster, NH
Mount Sunapee Resort — Sunapee, NH
Pats Peak — Henniker, NH
Ragged Mountain — Danbury, NH
Red Hill Ski Club — Moultonborough, NH
Storrs Hill — Lebanon, NH
Tenney Mountain Ski Resort — Plymouth, NH
The Balsams Wilderness — Dixville Notch, NH
Waterville Valley Resort — Waterville Valley, NH
Whaleback — Enfield, NH
Wildcat Mountain — Pinkham Notch, NH

Yawgoo Valley — Exeter, RI

Ascutney Outdoors, Brownsville, VT
Bellows Falls Ski Tow — Bellows Falls, VT
Bolton Valley Resort — Bolton Valley, VT
Bromley Mountain — Peru, VT
Burke Mountain — East Burke, VT
Cochran's Ski Area — Richmond, VT
Harrington Hill — Strafford, VT
Hard 'Ack — St. Albans, VT
Haystack Mountain — Wilmington, VT
Jay Peak Resort — Jay, VT
Killington Ski Resort — Killington, VT
Living Memorial Park — Brattleboro, VT
Lyndon Outing Club — Lyndon, VT
Mad River Glen — Fayston (ski only), VT
Magic Mountain — Londonderry, VT
Middlebury College Snow Bowl — Hancock, VT
Mount Snow — West Dover, VT
Northeast Slopes — East Corinth, VT
Okemo Mountain — Ludlow, VT
Pico Mountain — Killington, VT
Plymouth Notch — Plymouth, VT
Quechee Lakes Ski Area — Quechee, VT
Smugglers' Notch — Jeffersonville, VT
Stowe Mountain Resort — Stowe, VT
Stratton Mountain Resort — Stratton Mountain, VT
Sugarbush Resort — Warren, VT
Suicide Six — South Pomfret, VT

Wisp Ski Resort — McHenry, MD

Big Snow American Dream — East Rutherford (indoor), NJ
Campgaw Mountain — Mahwah, NJ
Hidden Valley — Vernon, NJ
Mountain Creek — Vernon, NJ

Beartown Ski Area — Plattsburgh, NY
Belleayre Ski Center — Highmount, NY
Big Tupper Ski Area — Tupper Lake, NY
Brantling Ski Slopes — Sodus, NY
Bristol Mountain Ski Resort — South Bristol- NY
Buffalo Ski Club — Colden, NY
Catamount Ski Area — Hillsdale, NY
Dry Hill Ski Area — Watertown, NY
Gore Mountain — North Creek, NY
Greek Peak — Virgil, NY
Hickory Ski Center — Warrensburg, NY
Holiday Valley — Ellicottville, NY
Holiday Mountain Ski & Fun — Monticello, NY
Holimont — Ellicottville, NY
Hunter Mountain — Hunter, NY
Kissing Bridge — Colden, NY
Labrador Mountain — Truxton, NY
Mount Peter Ski Area — Warwick, NY
McCauley Mountain — Old Forge, NY
Oak Mountain — Speculator, NY
Peek'n Peak — Clymer, NY
Plattekill Mountain — Roxbury, NY
Royal Mountain — Caroga, NY
Song Mountain Resort — Tully, NY
Snow Ridge Ski Resort — Turin, NY
Swain — Swain, NY
Sugar Hill — Sugar Hill, NY
Thunder Ridge Ski Area — Patterson, NY
Titus Mountain — Malone, NY
Toggenburg Mountain — Fabius, NY
West Mountain — Glens Falls, NY
Willard Mountain — Greenwich, NY
Whiteface Mountain — Wilmington, NY
Windham Mountain — Windham, NY
Woods Valley Ski Resort — Westernville, NY
Victor Constant Ski Area, West Point, NY

Bear Creek Mountain Resort — Macungie, PA
Blue Knob All Seasons Resort — Claysburg, PA
Blue Mountain Ski Area — Palmerton, PA
Boyce Park — Plum, PA
Camelback Ski Area — Tannersville, PA
Eagle Rock Resort — Hazleton, PA
Elk Mountain — Union Dale, PA
Hidden Valley Four Seasons Resort — Hidden Valley, PA
Jack Frost Big Boulder — Blakeslee, PA
Laurel Mountain Ski Resort — Ligonier, PA
Liberty Mountain Resort — Carroll Valley, PA
Mountain View at Edinboro — Edinboro, PA
Seven Springs Mountain Resort — Seven Springs, PA
Shawnee Mountain Ski Area — East Stroudsburg, PA
Ski Big Bear — Lackawaxen, PA
Ski Denton — Coudersport, PA
Ski Roundtop — Lewisberry, PA
Spring Mountain — Schwenksville, PA
Ski Sawmill — Morris, PA
Montage Mountain Ski Resort — Scranton, PA
Tussey Mountain Ski Area — State College, PA
Whitetail Ski Resort — Mercersburg, PA

Cloudmont Ski & Golf Resort — Mentone, AI

Appalachian Ski Mountain — Blowing Rock
Cataloochee Ski Area — Maggie Valley
Sapphire Valley — Sapphire
Ski Beech — Beech Mountain
Sugar Mountain — Sugar Mountain
Wolf Ridge — Mars Hill

Ober Gatlinburg — Gatlinburg

Mount Aggie Ski Slope — College Station

Bryce Resort — Basye-Bryce Mountain
Massanutten Ski Resort — Massanutten
The Homestead — Hot Springs
Wintergreen Resort — Wintergreen

Canaan Valley Resort — Davis
Oglebay Resort — Wheeling
Snowshoe Mountain — Snowshoe
Timberline Four Seasons Resort — Davis
Winterplace — Ghent

Chestnut Mountain Resort — Galena
Ski Four Lakes — Lisle
Raging Buffalo Snowboard Park — Algonquin
Ski Snowstar — Andalusia
Villa Olivia — Bartlett

Paoli Peaks — Paoli
Perfect North Slopes — Lawrenceburg

Mt. Crescent Ski Area — Crescent
Seven Oaks Snow Ski Area — Boone
Sleepy Hollow Sports Park — Des Moines
Sundown Mountain — Dubuque

Al Quaal Recreation Ski Area — Ishpeming
Alpine Valley — White Lake
Apple Mountain Ski Resort — Freeland
Big Powderhorn Ski Area — Bessemer
Bittersweet Ski Resort — Otsego
Blackjack Ski Resort — Bessemer
Boyne Highlands Resort — Harbor Springs
Boyne Mountain — Boyne Falls
Caberfae Peaks Ski & Golf Resort — Cadillac
Cannonsburg Ski Area — Cannonsburg
Challenge Mountain — Boyne City
Crystal Mountain Resort & Spa — Thompsonville
Garland Resort — Lewiston
Hickory Hills Ski Area — Traverse City
The Homestead — Glen Arbor
Indianhead Mountain Resort — Wakefield
Marquette Mountain — Marquette
Mont Ripley Ski Resort — Houghton
Mount Bohemia — Lac La Belle
Mt. Brighton Ski Resort — Brighton
Mt. Holiday — Traverse City
Mt. Holly Ski and Snowboard Resort — Holly
Mt. McSauba Recreation Area — Charlevoix
Mt. Zion Ski Area — Ironwood
Mulligan's Hollow Ski Bowl — Grand Haven
Norway Mountain Ski and Snowboard Resort — Norway
Nub's Nob — Harbor Springs
Otsego Club & Resort — Gaylord
Petoskey Winter Sports Park — Petoskey
Pine Knob Ski Resort — Clarkston
Pine Mountain Resort — Iron Mountain
Porcupine Mountains — Silver City
Shanty Creek Resorts — Bellaire
Ski Brule — Iron River
Snow Snake Ski & Golf — Harrison
Swiss Valley Ski and Snowboard Area — Jones
Timber Ridge Ski Area — Gobles
Treetops Resort — Gaylord

Afton Alps — Afton
Andes Tower Hills — Kensington
Buck Hill — Burnsville
Buena Vista Ski Area — Bemidji
Chester Bowl Park — Duluth
Coffee Mill Ski Area — Wabasha
Detroit Mountain — Detroit Lakes
Giants Ridge — Biwabik
Hyland Ski and Snowboard Area — Bloomington
Lutsen Mountains — Lutsen
Mount Itasca — Coleraine
Mount Kato — Mankato
Powder Ridge — Kimball
Ski Gull — Nisswa
Spirit Mountain — Duluth
Welch Village — Welch
Wild Mountain — Taylors Falls

Hidden Valley Ski Area — Wildwood
Snow Creek — Weston

Bottineau Winter Park — Bottineau
Frost Fire — Walhalla
Huff Hills — Huff

Alpine Valley Ski Area — Chesterland
Big Creek Ski Area — Concord
Boston Mills/Brandywine Ski Resort — Peninsula
Mad River Mountain — Bellefontaine
Snow Trails Ski Resort — Mansfield

Mystic Miner Ski Resort — Lead
Great Bear Recreation Park — Sioux Falls
Terry Peak Ski Area — Lead

Alpine Valley Resort — East Troy
Ausblick Ski Club — Sussex (private)
Badlands Sno-Park — Hudson
Book Across the Bay — Ashland
Blackhawk Ski Club — Middleton (private)
Bruce Mound Winter Sports Area — Merrillan
Camp 10 — Rhinelander
Cascade Mountain — Portage
Christie Mountain — Bruce
Christmas Mountain Village — Wisconsin Dells
Crystal Ridge — Franklin
Devils Head Resort — Baraboo
Fox Hill Ski Area — West Bend (private)
Granite Peak — Wausau
Heiliger Huegel Ski Club — Hubertus (private)
Kettlebowl — Bryant
Keyes Peak — Florence
Little Switzerland Ski Area — Slinger
Mont Du Lac — Superior
The Mountain Top at Grand Geneva Resort — Lake Geneva
Mt. Ashwabay — Bayfield
Mt. LaCrosse — LaCrosse
Navarino Slopes — Navarino
Nordic Mountain — Mount Morris
Nutt Hill — Plymouth
Powers Bluff — Arpin
Standing Rocks — Stevens Point
Sunburst Ski Area — Kewaskum
Telemark Lodge — Cable
Triangle Sports Area — Green Bay
Trollhaugen — Dresser
Tyrol Basin — Mount Horeb
Whitecap Mountains — Montreal
Whitetail Ridge — Fort McCoy
Wilmot Mountain — Wilmot

Arizona Snowbowl — Flagstaff
Elk Ridge Ski Area — Williams
Mount Lemmon Ski Valley — Summerhaven
Sunrise Park Resort — Greer

Arapahoe Basin — Keystone
Beaver Creek Resort — Beaver Creek
Breckenridge Ski Resort — Breckenridge
Chapman Hill Ski Area
Copper Mountain Resort — Copper Mountain
Cranor Ski Area
Crested Butte Mountain Resort — Mount Crested Butte
Echo Mountain Resort — Evergreen
Eldora Mountain Resort — Eldora
Hesperus Ski Area — Hesperus
Howelsen Hill Ski Area — Steamboat Springs
Kendall Mountain Ski Area — Silverton
Keystone Resort — Keystone
Lake City Ski Hill
Loveland Ski Area — Georgetown
Monarch Ski Area — Salida
Otter Mountain — Georgetown
Powderhorn Resort — Mesa
Purgatory Resort — Durango
Silverton Mountain — Silverton
Ski Cooper — Leadville
Ski Granby Ranch — Granby
Steamboat Ski Resort — Steamboat Springs
Sunlight Ski Area — Glenwood Springs
Telluride Ski Resort — Telluride[3]
Vail Ski Resort — Vail[3]
Winter Park Resort — Winter Park
Wolf Creek ski area — Pagosa Springs

Bald Mountain — Pierce
Bogus Basin — Boise
Brundage Mountain — McCall
Cottonwood Butte — Cottonwood
Kelly Canyon — Ririe
Little Ski Hill — McCall
Lookout Pass — Mullan
Lost Trail Powder Mountain — North Fork
Magic Mountain — Hansen
Pebble Creek — Inkom
Pine Street Ski Area,  Sandpoint
Pomerelle — Albion
Rotarun — Hailey
Schweitzer Mountain — Sandpoint
Silver Mountain — Kellogg
Snowhaven — Grangeville
Soldier Mountain — Fairfield
Sun Valley — Ketchum
Tamarack — Donnelly

Bear Paw Ski Bowl,Havre
Big Sky — Big Sky
Blacktail Mountain — Lakeside
Bridger Bowl — Bozeman
Discovery — Anaconda
Great Divide — Marysville
Lost Trail Powder Mountain — Conner
Maverick Mountain — Polaris
Montana Snowbowl — Missoula
Moonlight Basin — Big Sky
Red Lodge Mountain — Red Lodge
Showdown — Neihart
Teton Pass — Choteau
Turner Mountain — Libby
Whitefish Mountain Resort — Whitefish
Yellowstone Club — Big Sky (private)

Angel Fire Resort — Angel Fire
Pajarito Mountain — Los Alamos
Red River Ski Area — Red River
Sandia Peak — Albuquerque
Sipapu — Vadito
Ski Apache — Ruidoso
Ski Cloudcroft — Cloudcroft
Ski Santa Fe — Santa Fe
Taos Ski Valley — Taos

Alta — Alta (ski only)[3]
Beaver Mountain — Logan Canyon
Brian Head — Brian Head
Brighton — Big Cottonwood Canyon
Cherry Peak Resort — Richmond
Deer Valley — Park City (ski only)
Eagle Point Ski Resort — Beaver
Nordic Valley — Eden
Park City Mountain Resort — Park City[3]
Powder Mountain — Eden
Snowbasin — Huntsville
Snowbird — Snowbird[3]
Solitude — Big Cottonwood Canyon
Sundance — Provo

Antelope Butte Mountain Recreational Area — Shell
Beartooth Basin Summer Ski Area — via Red Lodge
Grand Targhee — Alta
Hogadon — Casper
Jackson Hole — Teton Village[3]
Meadowlark Ski Lodge — Ten Sleep
Pine Creek — Cokeville
Sleeping Giant Ski Area & Zipline — Cody
Snow King Mountain — Jackson
Snowy Range — Centennial
White Pine — Pinedale

Arctic Valley — Anchorage
Alyeska — Girdwood[3]
Eaglecrest — Juneau
Hilltop — Anchorage
Majestic Heli Ski — Glacier View
Moose Mountain — Fairbanks
Mount Eyak — Cordova
Ski Land — Fairbanks

Alpine Meadows — Alpine Meadows
Alta Sierra — Wofford Heights
Badger Pass — Yosemite National Park
Bear Mountain — Big Bear Lake
Bear Valley — Angels Camp
Boreal Mountain — Soda Springs
Buckhorn Ski Club — Three Points (private)
China Peak — Lakeshore
Dodge Ridge — Sonora
Donner Ski Ranch — Norden
Granlibakken — Tahoe City
Heavenly Mountain — South Lake Tahoe
Homewood Mountain — Homewood
June Mountain — June Lake
Kirkwood Mountain — Kirkwood
Mammoth Mountain — Mammoth Lakes
Mount Baldy Ski Lifts — Mount Baldy
Mount Shasta Ski Park — Mount Shasta
Mount Waterman — Three Points
Mountain High — Wrightwood
Northstar California — Truckee
Sierra-at-Tahoe — Twin Bridges
Snow Summit — Big Bear Lake
Snow Valley — Running Springs
Soda Springs — Soda Springs
Squaw Valley — Olympic Valley
Sugar Bowl — Norden
Tahoe Donner Downhill — Truckee

Diamond Peak — Incline Village
Elko Snobowl Ski and Bike Park — Elko
Las Vegas Ski and Snowboard Resort (Lee Canyon) — Las Vegas
Mount Rose — Reno
Sky Tavern Ski Area — Reno

Anthony Lakes — North Powder
Cooper Spur — Parkdale
Ferguson Ridge — Joseph
Hoodoo — Sisters
Mount Ashland — Ashland
Mount Bachelor — Bend
Mount Hood Meadows — Government Camp
Mount Hood Skibowl — Government Camp
Spout Springs — Tollgate
Summit Ski Area — Government Camp
Timberline Lodge — Government Camp
Warner Canyon — Lakeview
Willamette Pass — Odell Lake

49 Degrees North — Chewelah
Badger Mountain — Waterville
Crystal Mountain — near Enumclaw
Echo Valley — Chelan
Hurricane Ridge — near Port Angeles
Leavenworth Ski Hill — Leavenworth
Loup Loup Ski Bowl — near Twisp
Meany Lodge — Stampede Pass (private)
Mission Ridge — near Wenatchee
Mt. Baker — Glacier
Mount Spokane — near Spokane
Sahalie Ski Club — Snoqualmie Pass (private)
Sitzmark Lifts — Tonasket
Ski Bluewood — near Dayton
Stevens Pass — Stevens Pass
The Summit at Snoqualmie — Snoqualmie Pass
White Pass — White Pass
