SKI RESORT,TOWN,STATE SHORT,COUNTY
Cloudmont Ski & Golf Resort , Mentone,AL,DeKalb
Arctic Valley , Anchorage,AK,Anchorage
Hilltop , Anchorage,AK,Anchorage
Mount Eyak , Cordova,AK,Valdez-Cordova
Moose Mountain , Fairbanks,AK,Fairbanks North Star
Ski Land , Fairbanks,AK,Fairbanks North Star
Majestic Heli Ski , Glacier View,AK,Matanuska-Susitna
Eaglecrest , Juneau,AK,Juneau
Arizona Snowbowl , Flagstaff,AZ,Coconino
Sunrise Park Resort , Greer,AZ,Apache
Mount Lemmon Ski Valley , Summerhaven,AZ,Pima
Elk Ridge Ski Area , Williams,AZ,Coconino
Alpine Meadows , Alpine Meadows,CA,San Diego
Bear Valley , Angels Camp,CA,Calaveras
Bear Mountain , Big Bear Lake,CA,San Bernardino
Snow Summit , Big Bear Lake,CA,San Bernardino
Homewood Mountain , Homewood,CA,Inyo
June Mountain , June Lake,CA,Mono
Kirkwood Mountain , Kirkwood,CA,Alpine
Mammoth Mountain , Mammoth Lakes,CA,Mono
Mount Shasta Ski Park , Mount Shasta,CA,Siskiyou
Snow Valley , Running Springs,CA,San Bernardino
Boreal Mountain , Soda Springs,CA,Nevada
Soda Springs , Soda Springs,CA,Nevada
Dodge Ridge , Sonora,CA,Tuolumne
Heavenly Mountain , South Lake Tahoe,CA,El Dorado
Granlibakken , Tahoe City,CA,Placer
Mount Waterman , Three Points,CA,Tulare
Northstar California , Truckee,CA,Nevada
Tahoe Donner Downhill , Truckee,CA,Nevada
Sierra-at-Tahoe , Twin Bridges,CA,Santa Cruz
Alta Sierra , Wofford Heights,CA,Kern
Mountain High , Wrightwood,CA,San Bernardino
Badger Pass , Yosemite National Park,CA,Mariposa
Breckenridge Ski Resort , Breckenridge,CO,Summit
Copper Mountain Resort , Copper Mountain,CO,Summit
Purgatory Resort , Durango,CO,La Plata
Eldora Mountain Resort , Eldora,CO,Boulder
Echo Mountain Resort , Evergreen,CO,Jefferson
Loveland Ski Area , Georgetown,CO,Clear Creek
Otter Mountain , Georgetown,CO,Clear Creek
Sunlight Ski Area , Glenwood Springs,CO,Garfield
Ski Granby Ranch , Granby,CO,Grand
Arapahoe Basin , Keystone,CO,Summit
Keystone Resort , Keystone,CO,Summit
Ski Cooper , Leadville,CO,Lake
Crested Butte Mountain Resort , Mount Crested Butte,CO,Gunnison
Wolf Creek ski area , Pagosa Springs,CO,Archuleta
Monarch Ski Area , Salida,CO,Chaffee
Kendall Mountain Ski Area , Silverton,CO,San Juan
Silverton Mountain , Silverton,CO,Elbert
Howelsen Hill Ski Area , Steamboat Springs,CO,Routt
Steamboat Ski Resort , Steamboat Springs,CO,Routt
Telluride Ski Resort , Telluride,CO,San Miguel
Vail Ski Resort , Vail,CO,Eagle
Winter Park Resort , Winter Park,CO,Grand
Ski Sundown , New Hartford,CT,Litchfield
Mount Southington , Plantsville,CT,Hartford
Pine Street Ski Area, Sandpoint,ID,Bonner
Pomerelle , Albion,ID,Cassia
Bogus Basin , Boise,ID,Ada
Cottonwood Butte , Cottonwood,ID,Idaho
Tamarack , Donnelly,ID,Valley
Soldier Mountain , Fairfield,ID,Camas
Snowhaven , Grangeville,ID,Idaho
Rotarun , Hailey,ID,Blaine
Magic Mountain , Hansen,ID,Twin Falls
Pebble Creek , Inkom,ID,Bannock
Silver Mountain , Kellogg,ID,Shoshone
Sun Valley , Ketchum,ID,Blaine
Brundage Mountain , McCall,ID,Valley
Little Ski Hill , McCall,ID,Valley
Lookout Pass , Mullan,ID,Shoshone
Bald Mountain , Pierce,ID,Clearwater
Kelly Canyon , Ririe,ID,Jefferson
Schweitzer Mountain , Sandpoint,ID,Bonner
Raging Buffalo Snowboard Park , Algonquin,IL,McHenry
Ski Snowstar , Andalusia,IL,Rock Island
Villa Olivia , Bartlett,IL,Cook
Chestnut Mountain Resort , Galena,IL,Jo Daviess
Ski Four Lakes , Lisle,IL,DuPage
Perfect North Slopes , Lawrenceburg,IN,Dearborn
Paoli Peaks , Paoli,IN,Orange
Seven Oaks Snow Ski Area , Boone,IA,Boone
Mt. Crescent Ski Area , Crescent,IA,Pottawattamie
Sleepy Hollow Sports Park , Des Moines,IA,Polk
Sundown Mountain , Dubuque,IA,Dubuque
Lost Valley , Auburn,ME,Androscoggin
Quoggy Jo , Presque Isle,ME,Aroostook
Ski Bradford , Haverhill,MA,Essex
Bousquet Ski Area , Pittsfield,MA,Berkshire
Nashoba Valley Ski Area , Westford,MA,Hampden
Shanty Creek Resorts , Bellaire,MI,Antrim
Big Powderhorn Ski Area , Bessemer,MI,Gogebic
Blackjack Ski Resort , Bessemer,MI,Gogebic
Challenge Mountain , Boyne City,MI,Charlevoix
Boyne Mountain , Boyne Falls,MI,Charlevoix
Mt. Brighton Ski Resort , Brighton,MI,Livingston
Caberfae Peaks Ski & Golf Resort , Cadillac,MI,Wexford
Mt. McSauba Recreation Area , Charlevoix,MI,Charlevoix
Pine Knob Ski Resort , Clarkston,MI,Ionia
Apple Mountain Ski Resort , Freeland,MI,Saginaw
Otsego Club & Resort , Gaylord,MI,Otsego
